,neg,neu,pos,compound
yermak zelenskiys chief of staff who reported on the work of air defense in kyiv deleted his post on telegram,0.0,0.927,0.073,0.128
the electricity and internet in kyiv went down just now while i was talking to my mom to celebrate easter russian brotherly love in action on easter give ukraine everything they need to defeat the russian invading evil #russiaisaterroriststate,0.15,0.69,0.16,0.128
russia reiterated that preventing kyiv from joining nato is one of its key goals as nato secretary general jens stoltenberg visits ukraine on his first trip to the country since moscow launched its invasion in february 2022 cnn #standwithukraine,0.028,0.934,0.038,0.1027
local authorities light flash over kyiv due to nasa satellite crash a bright flash of light seen in the sky over kyiv late on april 19 resulted from a nasa space satellite crashing to earth according to preliminary data by the city military administration head serhii popko,0.056,0.885,0.06,0.0516
what donbassdevushka did equals to a member of the us military going on rwandan radio and gleefully cheering on the genocide russias goal was to occupy kyiv stage a bunch of fake elections swallow the country and erase ukrainian identity they had lists,0.068,0.859,0.073,0.0516
70000 russians invaded the kyiv region from belarus in february last year the defense forces then stopped the 64 km long column of the invaders first deputy minister of defense oleksandr pavlyuk,0.056,0.855,0.088,0.0258
nato secretary general stoltenberg is expected to meet with zelensky and other senior officials during his visit to kyiv financial times,0.0,1.0,0.0,0.0
breaking nato secretary general jens stoltenberg is in kyiv,0.0,1.0,0.0,0.0
nato countries provided ukraine with 150 billion in aid alliance secretary general stoltenberg at a briefing in kyiv,0.0,1.0,0.0,0.0
general secretary of nato stoltenberg visits kyiv ukraine in nato now,0.0,1.0,0.0,0.0
breaking #nato chief tells ukraine its rightful place is as a member of the alliance in a joint press conference with in kyiv the secretary general said nato stands with you today tomorrow and for as long as it takes,0.0,1.0,0.0,0.0
biden trips since chemical spill in east palestine oh 23 philadephia pa 24 syracuse ny 28 deforest wi 29 tampa fl 215 lanham md 220 kyiv ukraine 22122 poland 228 virginia beach va 31 baltimore md 35 selma al 39 philadelphia pa 313 san,0.0,1.0,0.0,0.0
so it was jens spaceship that landed yesterday #kyiv,0.0,1.0,0.0,0.0
 denmark together with the netherlands will transfer 14 leopard 2 tanks to kyiv danish radio reported,0.0,1.0,0.0,0.0
when were those dinner reservations the officers made in kyiv,0.0,1.0,0.0,0.0
of all places on earth it drops around kyiv ukraine geezus krist think theyre going through enough,0.0,1.0,0.0,0.0
a satelliteor possible a meteorite fell in kyiv todnight,0.0,1.0,0.0,0.0
do i need to put another ufo icon over kyiv,0.0,1.0,0.0,0.0
oh i see #nato chief #stoltenberg is in #kyiv,0.0,1.0,0.0,0.0
italy transferred about 20 m109l selfpropelled artillery mounts to kyiv the train with them passed through the railway station of the northern city of udine on saturday,0.0,1.0,0.0,0.0
its not they did similar training for years with ukrainian nazis in poland canada and kyiv,0.0,1.0,0.0,0.0
come on now if there was an independent journalist anywhere in kyiv he would have been sent to bakhmut months ago,0.0,1.0,0.0,0.0
i leave kyiv for two days and the aliens arrive,0.13,0.87,0.0,-0.0516
the #nafospacedivision denies any involvement with the event that happened over kyiv skies earlier thank you for your understanding,0.126,0.762,0.112,-0.0772
germany dispatched a patriot missile defense system to ukraine and in southern spain six leopard 2 tanks arrived at a port for shipping to ukraine as the us and western allies send weaponry to bolster kyivs forces cnn #standwithukraine,0.051,0.909,0.04,-0.1027
the ukrainian defense forces have launched their expected counterattack in the eastern parts of the country ukrainian deputy defense minister hanna maliar according to the kyiv independent ukrainian mind games or actual start of the offensive #ukrainerussianwar,0.074,0.815,0.111,-0.128
the wagner group aligned grey zone telegram channel admits the diminished efficacy of iranian drones in striking kyiv it says 7 or 810 shaheds launched on kyiv fail to reach their targets,0.099,0.732,0.169,-0.128
us soldiers arent fighting russian soldiers the us is providing training intelligence and weaponry but us soldiers in ukraine are limited to embassy in kyiv and not engaged in combat,0.181,0.651,0.167,-0.1351
all their attempts to seek help from indian mission in kyiv before they crossed the border failed i have videos and messages from these students,0.118,0.786,0.096,-0.1531
yesterdays flash in the sky above kyiv is probably connected with the entry of a space body into the dense layers of the atmosphere state space agency of ukraine most likely the outbreak was caused by a meteorite falling from the lyrid stream,0.038,0.962,0.0,-0.1531
ukrainian president zelenskys office tells me he will address mexican lawmakers today in hopes of convincing the countrys leadership to change from a neutral stance on russias war of aggression to being more firmly on kyivs side confirming reuters report on the address,0.123,0.766,0.111,-0.1531
12 yesterday residents of the capital saw a bright flash in the sky many people immediately had associations with #ufos later the #kyiv сity аdministration said that the phenomenon was the result of a nasa satellite falling to earth however #nasa denied this information,0.097,0.841,0.062,-0.1531
falling nasa satellite being shot over kyiv isnt something i expected to happen today,0.118,0.882,0.0,-0.1531
12 according to preliminary information the phenomenon in kyivs sky was the result of a #nasa space satellite falling to earth the #kyiv military administration said,0.062,0.938,0.0,-0.1531
a flash in the sky is the result of a #nasa space satellite falling to earth the authorities of #kyiv in order to avoid casualties from debris falling to the ground an air raid alert was announced air defense did not work nasa doesnt confirm this,0.112,0.811,0.077,-0.1779
kyiv authorities banned worship services in the citys churches on easter,0.211,0.634,0.155,-0.2023
1135 am in #kyiv morning from ukraine we had a calm night in kyiv but drones attacked odesa oblast at night infrastructure facility was struck me going to the workout soon later meeting with paul on my tons of questions about camera and taking good pictures my life,0.118,0.782,0.1,-0.25
anyone in kyiv i can drop off 10 kg of chicken breast to i got some bags mixed up and ended up with it,0.091,0.909,0.0,-0.2732
when you tell people in west that kharkiv is 90 russian speakers and even kyiv is majority russian speakers and they all hate russians theyre astonished like it is difficult to understand that usa is not uk even if both speak english,0.126,0.771,0.103,-0.2732
157 pm in #kyiv a tiny lady wrapped in a pink coat and years stood at the cash register she bought a small paskha easter cake cabbage some cookies and raisins oh its a pity that you dont have a smaller package of raisins the tiny lady said looking for money,0.047,0.953,0.0,-0.296
i am on a train to kyiv sharing a coupe with a ukrainian soldier on his way to the front i can hear the pain in his voice when his wife calls he was home for ten days to see his wife and baby his father is waiting for him at the front sobering героям слава,0.091,0.859,0.05,-0.3182
according to preliminary information this phenomenon was the result of the fall to earth of the nasa space satellite kyiv administration in order to avoid victims from debris falling to the ground an air alert was announced air defense did not work incredible,0.128,0.795,0.077,-0.34
the kyiv oblast military administration just made a statement in which they said that the bright flash that many saw in kyiv was indeed the dead nasa satellite you literally cannot make this sht up,0.11,0.816,0.074,-0.34
enormous issue of ukraine is that no valid local hospital would take my mother in for fulltime department they didnt want lung cancer stage 4 patient with excessive bad symptoms after targeted treatment that didnt work out and my mom was not transportable anymore to kyiv ,0.135,0.797,0.068,-0.3412
nazis during ww2 needed 8 months just for crimea and 35000 casualties and they had on top of everything technological and air superiority poor are those who are falling for kyiv propaganda,0.182,0.705,0.114,-0.3612
1059 am in #kyiv good morning from rainy kyiv the night was calm here ive already returned from driving lesson and had two cups of #warcoffee read that population in ukraine now is 367 million people in 2021 was 438 million some left some dead some missed,0.142,0.764,0.095,-0.3818
i heard that bakmut did not represent any stategic position and you announce that kyiv has dedicated 30 of its military forces to it so are you lying or kyiv lying about the strategic importance of backmut ,0.163,0.714,0.123,-0.4267
the damages to ukraines agricultural sector and land resources have cost 87 billion since the beginning of the fullscale invasion according to a report from the kyiv school of economics ,0.094,0.906,0.0,-0.4404
kyiv is currently under attack,0.437,0.563,0.0,-0.4767
you wont believe it but the kyiv city military administration said that a nasa satellite fell in kyiv shock,0.167,0.833,0.0,-0.5267
literally what were the fucking chances of it falling over kyiv during a war jesus,0.296,0.592,0.113,-0.5279
air raid siren in kyiv its been some time fuck you russia,0.241,0.759,0.0,-0.5423
there are reports that satellite had crashed in kyiv region satellite ffs i cant believe i actually write this and its not fckng action movie plot,0.142,0.858,0.0,-0.5859
because its ukraine i wouldnt have been too surprised if this was a real alien invasion at kyiv and the martians would be like fuck this shit were abandoning our tripods we cant defeat those dudes with yellow scotch tape armbands,0.196,0.666,0.139,-0.5886
nato chief observing eviscerated russian tanks displayed for the audiences titillation in kyiv 14 months after the beginning of russias threeday war vladimir vladimirovich remains a master exhibitionist,0.13,0.87,0.0,-0.5994
1155 pm in #kyiv i found my tweet from march last year on feb 24 i started drinking #warcoffee i didnt go to the office i was standing in a long queue for the food in kyiv at 548 i started tweeting about my war with less than 10 of you can you tell from which,0.074,0.926,0.0,-0.5994
i was just thinking earlier today that i couldnt recall the last time i heard sirens russia terrorizes different cities with shaheds theres information about explosions in kyiv region ,0.141,0.859,0.0,-0.6249
 mercenary fighter allegedly shoots a 5 year old child in the face and kills her because she was crying how are things in kyiv they look fine sound calm but while those crimes are going down in a country you live and work in nobodys immune to the horrors,0.168,0.703,0.129,-0.6369
finally arrived in kyiv im stoked to get settled in and explore a bit but im already falling in love with this city that said seeing the destruction firsthand as opposed to online is heartbreaking im feeling a tangible sense of rage thats going to be put to good use,0.232,0.601,0.167,-0.6652
ukrainian sources report that zelensky is blackmailing the west with a counteroffensive it is reported that kyiv will abandon the offensive if they are not supplied with uavs ammunition american f16s with airtoair missiles,0.16,0.84,0.0,-0.7096
kyiv was and remains the target of the aggressor kyiv is the heart kyiv is the capital and that is why we are doing everything to foresee various scenarios even the worst scenario so that if someone can and wants to «could he» this is a big question,0.116,0.884,0.0,-0.7096
hey #nafo peeps this is a fundraising request on behalf of an elderly ukrainian refugee living in bulgaria she rents an apartment in kyiv as a source of income the tenant skipped out on rent and damages the tenant also caused serious damage to the apartment 15,0.15,0.85,0.0,-0.7506
friends were ok my crazy week is continuing tomorrow ive to dispatch demostands from kyiv to the netherlands but i still dont have all needed documents and information from stands manufacturer it drives me mad i hate such situations well i can be very persistent,0.207,0.675,0.118,-0.775
report kyiv denies encirclement of artjomowsk we will fight the enemy if necessary to the last ukrainian,0.389,0.611,0.0,-0.836
saw a flash and then heard a dull bang but this time thought it was lightningthunder but no rain very strange now air raid sirens are going off reports coming in confirming a strange green flash in the sky and an explosion #kyiv,0.216,0.784,0.0,-0.8372
1230 am in #kyiv how can nights be good here with such an evil oh dear world that video rest in peace dear soldier it was one of my hardest tweets this war this stupid war,0.308,0.489,0.203,-0.8422
has anyone seen any detailed information about the march retaliatory strike by russia that destroyed a nato bunker in kyiv killing hundreds of nato and ukrainian officials,0.283,0.717,0.0,-0.8442
my evening message its april 19 2023 there is a war in ukraine right now there is drones attack on some parts of ukraine and kyiv as well air defense is on duty today today in the morning kharkiv oblast governor reported that two people were killed by russian air,0.195,0.745,0.061,-0.872
in case of a rainy day by doing this russia is signaling to the west that the more weapons sent to ukraine the more losses the kyiv troops will suffer more website zen yandex news subscribe,0.262,0.738,0.0,-0.8746
1040 am in #kyiv morning from ukraine its calm in kyiv but less than half an hour ago russians shelled the central market in kherson at the moment there is information about 6 injured people so my morning went to the hell sorry and i want to say loudly,0.202,0.743,0.055,-0.8834
ukraines agricultural sector has suffered more than 8 billion from war damage the damages to ukraines agricultural sector and land resources have cost 87 billion since the beginning of the fullscale invasion according to a report from the kyiv school of economics,0.268,0.732,0.0,-0.9217
