,neg,neu,pos,compound
fact check mike lee just claimed he stands up to putin this is false mike lee is one of the only members of congress not blacklisted by russia was 1 of just 2 senators to vote against sanctions on russia for cyberattacks and voted against help for ukraine #utsendebate,0.0,0.945,0.055,0.4019
russian militaryintelligence aircraft landed in delhi early 405 am in the morning today president putin doesnt send military planes to other countries to get cigarettes or shoes like chacha nehru,0.0,0.921,0.079,0.3612
we havent even started the collective west still doesnt understand the meaning and the implications of this sentence time to crawl back to putin and beg for forgiveness,0.0,0.882,0.118,0.3559
president biden is our only president the last president shared his office with putin and mbs,0.0,0.862,0.138,0.34
putin will hold a meeting of the security council of the russian federation on october 19 via videoconference medvedev will make a report the kremlin,0.0,0.902,0.098,0.34
putin will hold a meeting of the security council of the russian federation on october 19 medvedev will speak,0.0,0.876,0.124,0.34
putin will hold a meeting of the russian security council via video tomorrow medvedev will make a presentation ria,0.0,0.87,0.13,0.34
vladimir putin will hold a meeting of the russian security council tommorow dmitry medvedev will make a report,0.0,0.862,0.138,0.34
if rightwing leaders are the solution to inflation then explain why the inflation rate in putins russia is 134,0.0,0.887,0.113,0.3182
daily mail putin aide warns freeing weedsmuggler wnba player brittney griner from russian prison is not a priority for us and claims biden only wants athlete released to make him look good ahead of midterm elections,0.113,0.743,0.144,0.3182
putin lukashenko and khamenei can all share a cell in the hague,0.0,0.82,0.18,0.296
imagine the leftists reaction if france would mobilize in priority the french of foreign origins north africans vietnamese chinese subsaharans well this is what is happening in putins russia and the international left is silent and still talks about nato expansion,0.0,0.95,0.05,0.2732
if trump was still president ukraine would no longer exist as a nation we wouldve dropped out of nato and putin would be moving on his next conquest as citizens of a most powerful nation our votes dont just count here they matter globally its about more than inflation,0.044,0.873,0.083,0.2484
dont use nukes we dont need them to solve the ukraine issue we warn you dont use nukes we dont want to again if you use them we will erase you still we dont want to we also have nukes we can strike back putin said he will use nukes thx ,0.098,0.824,0.079,0.2396
message to the ukrainians the majority of hungarians are not idiots we are with you do not believe the propaganda of the hungarian government with putin orban will fall slava ukraini,0.0,0.945,0.055,0.1877
morning call #gop applauds these people elonsupports putin kanye westfull out death con on jews trumpus jewish people get in line time is running out to save our democracy #midterms pick a side take a sip #demvoice1,0.094,0.771,0.135,0.1779
im old enough to remember when the republican party was all paranoid about communists around every corner now theyve cozied up to putin who is a veteran of the cold warfor the other side were in the upside down now,0.048,0.887,0.065,0.1779
#putin expects russians to make the ultimate sacrifise at the front lines to expand his reign personally he isnt prepared to make any sacrifices for the russian people,0.056,0.868,0.077,0.1615
hey guys good news and bad news i can finally say whatever i want cause ive managed to leave russia and i am safe so fuck putin ive said it multiple times in my instagram before that but its time to say it here as well,0.122,0.723,0.155,0.1542
yes also putin is working with erdogan to funnel russian oil through turkey in doing so they can control the supply and the price no small wonder turkery wants oz in the senate,0.061,0.833,0.106,0.1531
xi putin and khamenei are forming a triangle of evil which is actively challenging the us and its alllies in east asia europe and middle east the west should back #iranrevolution through actions losing this opportunity is a national security malpractice,0.141,0.666,0.193,0.1406
i have a family member who voted for trump in 2016 asked him this week if he watched the j6 committee hearing he said trump is worse than putin and republicans support him hes voting straight d in an essential swing state,0.071,0.824,0.105,0.128
putin militarily invaded ukraine putin psychologically invaded the united states both are fighting for their democracy,0.13,0.725,0.145,0.0772
the west should listen carefully when president vladimir putin talks about using nuclear weapons but should remember that it is more useful for him to threaten their use than to go ahead the head of norways armed forces says,0.117,0.763,0.121,0.0489
hi i know you guys are busy but putin has his forces in overdrive cranking up abandoned accounts creating new ones etc he is playing election interference and hate promotion and division can you please do a sweep thank you,0.173,0.612,0.214,0.0387
when did dialogue become an extreme thought dialogue with the truckers no white supremacy dialogue with russia no putin apologist words arent violence but not having dialogue could lead to more to think otherwise is the extremist view,0.079,0.841,0.08,0.0121
at the casablanca conference january 1424 1943 us president franklin d roosevelt british pm winston churchill adopted the policy of unconditional surrender of the axis powers time for nato to do call for the unconditional surrender of the putin regime putinhitler,0.0,1.0,0.0,0.0
why negotiate with putin or lavrov musk and rand paul speak english,0.0,1.0,0.0,0.0
update the kremlin putin has not yet announced the end of the mobilization,0.0,1.0,0.0,0.0
how come the us calls out russia putin every day all day for years never calls out china xi you know china wuhan china,0.0,1.0,0.0,0.0
vladimir putin has signed a deal to purchase 1 million robotaxis from tsla for 420 billion,0.0,1.0,0.0,0.0
senator lee remarkably you are the only member of utahs congressional delegation not to be blacklisted by vladimir putin just an incredible distinction mcmullin said,0.0,1.0,0.0,0.0
question 2 jack nicholson had a onenight stand with the mother of which world leader vladimir putin justin trudeau kim un jung joseph biden #scottstrivia,0.0,1.0,0.0,0.0
the putinzelensky meeting in turkey is not yet possible spokesman erdogan,0.0,1.0,0.0,0.0
were sending liz to russia in the morning to manage the economy for putin hes finished,0.0,1.0,0.0,0.0
if some restaurant npc asks me to donate a dollar to ukraine im pulling out my phone and sending 20 to putin,0.0,1.0,0.0,0.0
daniellezebub smith believes vladimir putin was the most discriminated against world leader her grandfather ever saw in his lifetime,0.0,1.0,0.0,0.0
why south africa why saudi arabia why turkey why india why brasil would go with the loosing side they know who is really winning putin and the new multipolar world those countries are no fool they know this is a new paradigm they want to be on the right side of history,0.089,0.823,0.087,-0.0276
in the 30s the palestinians chose hitler in the 90s they chose saddam hussein now despite all the aid from the us and the eu they chose putin theyre truly experts in being on the wrong side of history,0.072,0.86,0.067,-0.0516
you mean that campaign which used millions of pounds in money laundered from putin to criminally procure the eu leave vote in 2016,0.052,0.948,0.0,-0.0516
it would be interesting to see how the babymurdering criminal putrid putin would react if ukraine launched hundreds of kamikaze drones in moscow zelensky wont do that because he is a human not a piece of dog sht,0.084,0.813,0.103,-0.0516
putin is terrified of whats happening right now silly gangster thought he was important lol ,0.193,0.531,0.275,-0.0772
why doesnt anyone connect the dots trump taking power with putins help then attacking the capitol is just a coincidence,0.132,0.749,0.119,-0.0772
putin kievs tactics justified a response in kind moscow now considers the ukrainian energy infrastructure to be a legitimate target for military attacks now that bridge bomb does not look such a good idea anymore,0.199,0.609,0.192,-0.0788
poland please annex kaliningrad asap putin will lose his mind,0.208,0.615,0.177,-0.1027
are you just going to ignore how ultra right ring bibi is now going to ignore his coziness with putin #morningjoe just appease him for his book,0.153,0.706,0.141,-0.1027
so joe jacks the price of oil through the roof at americans expense by blocking about 2m usa barrels a day from world market whis new regs then sanctions putins oil to create even more scarcity then putin sells on the black market at joes artificially high prices,0.052,0.905,0.042,-0.128
democrats have taken the perception narrative instead of reality mode instead of mean average gas prices crime per capita instead of actual numbers fetuses can be trans but still not human inflation is putins electric cars are green you feeling me,0.052,0.907,0.041,-0.128
dont use nukes we dont need them to solve the ukraine issue we warn you dont use nukes we dont want to again if you use them we will erase you however we dont want to we also have nukes we would strike back putin said he will use nukes,0.102,0.863,0.035,-0.1391
im awake enough to remember joe biden promising to end fossil fuels during his presidential campaign and here we are energy dependent begging for oil blaming putin saudi arabia for us gas prices where is the confusion here people,0.119,0.774,0.106,-0.1531
the truth is trumps a failed businessman who took office in 2016 with russian interference lied about it acted like a putin asset lost reelection contested it as asked to by russia in 2016 incited insurrectionand hes now ruling the gop in exile just as putin would want,0.147,0.699,0.154,-0.1531
dedollarization was begun by india from 2016 end read pinned tweet 7th dec 2018 indiauae to trade in domestic currencies jan 2019 saudi arabia begins selling assets parked in west prepares for future sanctions july 2021 putin begins dumping western inv,0.053,0.907,0.04,-0.1531
how could people support elon musk hes back today w replies crimea belongs to russia a vital port said if nato backs ukraine putin runs out of mean hell initiate nuclear war instead he should say russians should overthrow putin from power hes definitely putins asset,0.171,0.651,0.178,-0.1531
just in putin is safe in power for now but risks lie ahead eight wellinformed sources say reuters,0.129,0.777,0.095,-0.1779
putin 20years in power lukashenka 28 years in power khamenei 30 years in power and yet tankies maga and all kinds of conspiracy morons pretend these dudes are united to fight for freedom democracy and against western tyranny,0.199,0.657,0.144,-0.1779
elon musk says putin is threatening to nuke everybody so we better just do what putin says see thats why elon musk can never be an american a real american says give me liberty or give me death see how that works ,0.143,0.727,0.129,-0.1832
for 18 years the gop government of putin has voted 12 times to go give themselves a pay raise 40000 a yearthe whole time voting against raising workers pay 14 times,0.094,0.906,0.0,-0.2023
putin wants a declaration of war against the entire western democratic world says bruno kahl head of the german intelligence services bnd,0.15,0.731,0.119,-0.2023
the black and brown countries that refused to obey the united states and their puppets in the eu by getting involved in sanctioning russia didnt do it because they have a love of putin or even support this war they did it because they put their countries first and hate the us,0.161,0.69,0.149,-0.2083
putin could end his invasion of ukraine today talk of hardliners overthrowing him if he did is nonsense those in west claiming to be committed to peace in ukraine need to offer concrete proposals for convincingcompelling putin to end his war,0.134,0.752,0.114,-0.25
the european union is serious about ditching russian energy resources to make it impossible for kremlin chief vladimir putin to continue his energy war against europe thus according to the results of last september the consumption of russian gas in europe decreased from,0.107,0.806,0.087,-0.25
 common sense peaceful treaty for the benefit of all so the people stop dying for example total surrender to russia and putins dying regime forgetting textbook genocide of tens of thousands destroy statehood of the nation deny right to exist,0.169,0.706,0.125,-0.2878
why is benjamin netanyahu on morning joe he is allied with being helped by putin he is also under indictment for corruption and he is using the same tactics as trump to undermine israels government he is trash should not be given the time of day why is he there,0.043,0.957,0.0,-0.296
zelensky per reuters there is no room left to negotiate with putin,0.167,0.833,0.0,-0.296
zelensky there is no room left for negotiations with putin,0.196,0.804,0.0,-0.296
ukraines president zelensky there is no space left for negotiations with putin,0.167,0.833,0.0,-0.296
#breaking putin has no plans to sign a decree on the completion of partial mobilization throughout the country kremlin spokesman peskov,0.104,0.896,0.0,-0.296
ukraine president says no space left for negotiations with putin,0.196,0.804,0.0,-0.296
theres one surest way to provoke inner colonist to come out in almost every russian no matter how antiputin they claim to be ask them if their granddads liberated something in ww2,0.129,0.777,0.094,-0.3041
the two richest people in the world are 1 vladimir putin 2 elon musk the two most evil people in the world are see above,0.161,0.722,0.117,-0.3167
brexit covid putin all extremely bad but there is one common denominator that has enabled all three to the detriment of all tories,0.098,0.902,0.0,-0.3392
if you give in to fear all you get is fear if you give in to blackmail all you get is blackmail if your approach is transactional youll be sold to the highest bidder remember this if you ever thought its a good thing to appease putin for whatever reason,0.113,0.798,0.089,-0.34
putin is prepping an announcement tomorrow ben wallace has hastily cancelled an early afternoon appearance before the commons defence committee for an urgent trip to washington dc tensions are escalating and we will to hear a joint response of the west shortly,0.105,0.824,0.071,-0.3612
apparently putin has his own private army in every society antivaxxers people seeing their own governments as the biggest evil just like russias reallife army they arent smart but numerous #stoprussia #standwithukraine,0.123,0.827,0.05,-0.3775
3 the price of gasoline is not controlled by anyone in the us government thank post covid recovery putin opec for the rise 4 the argument that this is or should be an election about price increases is a gop talking point and deliberate distraction,0.109,0.837,0.054,-0.3818
the woman who says she can stand up to putin cant even face the opposition leader at pmqs thats a bit embarrassing isnt it x,0.106,0.894,0.0,-0.3818
just remembering that time when russias president was dmitry medvedev and putin was prime minister and putin was really in charge and we all knew it and saw through it and thought they were a tinpot dictatorship that was taking the piss out of its people,0.058,0.942,0.0,-0.4019
national grid chief again warning of blackouts this winter as all the blame goes on putin and none on the crazy green ideology thats really behind it public kept in the dark on both fronts,0.124,0.824,0.052,-0.4145
one thing i havent seen much about is why russia retaliated more strongly after attacks on crimea than attacks on belgorod russian for 4 centuries the obvious answer is this is less about russian security and more about putins prestige crimea is his in a way belgorod isnt,0.122,0.791,0.087,-0.4211
providing military aid all that they need to ukraine is the path to peace it allows ukraine to defend its people and land putin will only stop when he can no longer commit violence on ukrainians and when his military has completely culminated in ukraine #armukrainenow,0.154,0.743,0.103,-0.4215
if you think the american fascists would behave differently than their idol putin you are too naive to exist on this planet,0.163,0.837,0.0,-0.4404
if liz truss stays as pm for much longer then keir starmer is going to have poll leads that even kim jongun and vladimir putin would be be jealous of #toryshambles,0.091,0.909,0.0,-0.4588
the brexit train had many passengers boris to further his career putin to weaken eu uk and west odey hedgies for plunder racists xenophobes and arsenists for obvious reasons but driving the brexit train was the iea and its political wing the erg 2,0.092,0.908,0.0,-0.4854
so trump putin and mbs are extorting the world together in a 3way deal to keep oil prices high to put biden on the ropes politically in exchange for nuke secrets ukraine territory possible trump return and he gets 2 billion and pressure on biden through gopgru propaganda op,0.085,0.915,0.0,-0.4939
so russia invades ukraine russia uses belarus territories to store aviation and launch missiles russia uses iranian drones to terrorize ukrainians but its still putins war lets not escalate further to ww3 we need a peace talk make it make sense,0.161,0.744,0.095,-0.5023
marjorie taylor greene just revealed the plan if kevin mccarthy wants to become speaker hell have please the radical proputin base and give her a lot of power and a lot of leeway a vote for republicans in november is a vote for mtg kanye west trump and putin,0.092,0.862,0.046,-0.5106
the more people talk about kissing putins ass the less they talk about #ukraine kicking putins ass,0.283,0.567,0.15,-0.5106
trump taking power with putins help then attacking the capitol is just a coincidence trump extorting ukraine and then putin attacking ukraine is,0.217,0.686,0.097,-0.5106
fascists bigots extreme christian conservatives gun enthusiasts dem liberal haters the poorly or limited educated the top 3 putin white supremacists hypocrites 3rd party voters non voters this is the republican electorate and who we are up against,0.239,0.614,0.146,-0.5267
elon musk says the world belongs to russia now or else putin will nuke us all and to that i say fuck elon musk and vladimir putin,0.123,0.877,0.0,-0.5423
other than a few hundred ukrainian children murdered in indiscriminate bombing scoring 8 goals in a hockey game where playing defense lands you in a gulag and poisoning a political opponent i cant think of many other things that would make putin happier today than this photo,0.161,0.707,0.132,-0.5423
any place in the world that liberates itself from tyranny terrifies putin,0.247,0.753,0.0,-0.5574
putin has turned this country into something unrecognizable he has appealed to the egos ignorance and bigotry of americans hes convinced them to go against their country and constitution those traits wont allow them to see the damage theyve done,0.16,0.781,0.059,-0.567
does vladimir putin have a direct twitter does vladimir putin have a twitter or even a clown twitter how do i directly cause him anger,0.156,0.844,0.0,-0.5719
aoc called people who are critical of dying in a nuclear war putin puppets aoc sounds like a 1960s goldwater republican,0.251,0.648,0.101,-0.5719
much of the kremlins campaign to avoid general mobilization has fallen along distinct ethnic lines and ethnic minority enclaves have largely borne the brunt of russian president vladimir putins force generation efforts11,0.135,0.865,0.0,-0.5719
barack obama netanyahu john mccain and the london gang wanted to kill basharal assad using isis but putin didnt allow it,0.203,0.797,0.0,-0.5926
a worrying trend people starting to see rishi sunak as a safe pair of hands to replace truss but remember this man embezzled taxpayers money via his wifes company during pandemic hes a liar and a tax dodger plus his family have close ties to russia and putin,0.125,0.835,0.04,-0.6369
anarchists are so cringe on russia ukraine conflict vro russian anarchists have literally tried to sabotage their government and have done more than you in fighting putin lol,0.234,0.686,0.08,-0.6597
massive blackouts have taken place across ukraine as 30 of the countrys power stations have been destroyed in just over a week according to zelensky the ukrainian leader said there is no space left for negotiations with russian president vladimir putins regime cnn,0.119,0.881,0.0,-0.6597
sirens sound in #kyiv of #ukraine again i repeat president #putin civilians and civil infrastructure must be avoided as president #biden you are requested to put immediate end to suffering of people in #yemen and #tigrayunderattack #tigraygenocide ,0.139,0.861,0.0,-0.6705
aoc calling anti war protesters putin puppets is exactly why she is less popular than kamala harris,0.343,0.551,0.106,-0.6801
putin turned trump and elon musks into puppets now if he can just get kanye west hell have the fragile male ego trifecta,0.173,0.827,0.0,-0.6808
hello everyone can you write russia is a terrorist state in your language lets deliver the message in all languages to putin,0.19,0.81,0.0,-0.6908
putins regime with its threats of a nuclear attack has turned russia into the biggest danger to peace in europe and in the whole world reads the statement submitted by 85 estonian lawmakers,0.228,0.686,0.086,-0.7003
flynn uses putins talking points it is the most unholy of holy wars it has nothing to do with christianity he mixes spiritual principles with politics there is a pbs special this evening called michael flynns holy war #churchstateseparation #connectblue,0.162,0.779,0.058,-0.7003
ben wallace off to discuss putin and nukes in us i do not feel safe having a lame duck hollow pm like truss in charge shed do anything to restore her ego i do not want this tory government dealing with the putin crisis #benwallace #trussmustgo,0.202,0.708,0.09,-0.703
sunak would rather destroy the tory party and the nation then not be made pm just as putin is willing to destroy infrastructure and its people because he cannot rule sunak and putin are dangerous despots who will not countenance personal defeat,0.193,0.708,0.099,-0.7114
so let me get this straight the us fomented revolt in ukraine installed a nazialigned regime that systematically erased russian culture and killed people of the donbas for 8 yrs all to goad putin into a hostile position for pretext to weakencoup russia that right,0.147,0.809,0.044,-0.7162
#iran you supply one bullet to #russia you will pay the price you have supplied them thousands of kamikaze drones vespa drones and now you must suffer like russia for standing with #putin #russia the hardest sanctions #iranians have ever suffered must happen nowiran must pay,0.179,0.774,0.047,-0.7184
if you want to prove to putin that he can out escalate out wait the west do nothing in response to iranian missiles being provided to russia for ukraine war not responding is going to make your ukraine policy very difficult ,0.146,0.826,0.028,-0.7501
the criminal kremlin and two of its lap dogs the iranian government and the iranian military will pay steep prices for these drone attacks of course putin and his lap dogs wont be in power much longer anyways #freeiran #ukrainewillresist #tyrantsfallingdown #putinsucks,0.165,0.835,0.0,-0.7717
we did believe that we can continue living kind of a normal life after we threw russians away from #kyiv and right now putin is telling us no #russia is trying to kill us just because we exist,0.165,0.835,0.0,-0.7845
can we have a fuck putin khamenei all over the world fuck em #fckputin #fckkhamenei,0.368,0.632,0.0,-0.7906
if you waiting for the putin regime to fall anytime soon im sorry to dissapoint but wont happen not till he is dead,0.253,0.747,0.0,-0.7964
its sad that we dont even realize maga is our fancy version of the taliban worst part is theyre funded by putin,0.265,0.735,0.0,-0.802
belarusian opposition leader sviatlana tsikhanouskaya urges belarusians not to partake in the ukraine war i urge the belarusian military dont follow criminal orders refuse to participate in putins war against our neighbors,0.251,0.679,0.07,-0.8033
i think is confused no worries i can help clear things up russia invaded ukraine crimea is a part of ukraine that russia seized by force vladimir putin the dictator of russia is the only person threatening to use nuclear weapons you are not a diplomat,0.252,0.649,0.098,-0.8074
putin and russia has shown restrain but the west kept pushing zelensky sending weapons and mercenaries to provoke russia now kyiv is under attack and zelensky is on the run we know those who are threats to global security and peace,0.262,0.602,0.135,-0.8126
3 points on putins terror attacks 1 they are war crimes we cannot normalize this 2 they are effective hes destroyed 13 of ukraines power plants 3 we must help ukraine rebuild now electric generation plants could be the new himars #standwithukraine,0.262,0.625,0.113,-0.8225
kyiv was attacked kharkiv was attacked dnipro was attacked donetsk is occupied crimea is occupied mariupol is occupied elon musk is putins messenger boy in 2023 all of that will slava ukraini ,0.237,0.763,0.0,-0.8402
putin assumedconsolidated power in process of chechnya brutal subjugation when ru army disregarded humanitarian law levelling down whole settlements with artillery while int com turned a blind eye ukraine is first one to rightfully remind whole world that chechnya is occupied,0.203,0.797,0.0,-0.8555
three strikes hit a power supply facility in northern #kyiv strikes caused several explosions and sending smoke rising over kyiv #putin is implementing his killing plan what about the strategy of the west,0.245,0.755,0.0,-0.8555
this is a waking nightmare trump is a traitor he cant explain his finances he cant explain hes weird allegiance to putin he cant explain his covid fail the trillions lost in debt he cant admit what hes done or that he lost he cant explain what he was doing january 6,0.215,0.758,0.027,-0.8649
why is putin killing off russian business executives can his state goons not get his oligarchs under control without killing them are the business boys not following their papa putins orders anymore,0.227,0.773,0.0,-0.8689
ukraine should attack russia get a shitload of kamikaze drones and send them to russia 247 until putin wakes up and withdraws from all of ukraine including crimea fuck putin that little shit #fuckputin #fuckrussia #voteblue,0.236,0.764,0.0,-0.8722
not only is iran funding terrorism theyre sending missiles to putin to murder ukrainian civilians giving this regime billions of dollars would be a deadly mistake,0.333,0.598,0.068,-0.8834
after having failed in his attempt at genocide of ukrainians putin has now turned to an attempt to kill as many young russian men as possible why doesnt anybody stop eliminate this cruel tyrant why does anybody still want to have any contact with him,0.215,0.727,0.058,-0.8913
good morning fuck fascism fuck putin fuck trump fuck i need coffee ,0.611,0.262,0.127,-0.9022
#thicklizzy was frightened of being interviewed by andrew neil during her fraudulent leadership campaign frightened of being questioned by beth rigby last week and is now frightened of a question from keir starmer but she says she can stand up to putin how pathetic she is,0.267,0.733,0.0,-0.9042
none of us have any right to allow ourselves a moment of weakness because if we do then those who have fallen will have fallen in vain president putin addressing military officers during the second chechen war,0.312,0.647,0.041,-0.9118
trump boobytrapped america on his way out and he and republican traitors and rightwing media worked nonstop to foil the real us government everyday since ignoring his insurrection lying about vaccines blaming inflation and putins war on biden refusing to legislate to help,0.286,0.665,0.049,-0.9217
people joke about this stuff but im dead serious look at elons hard turn right after grimes left him for chelsea manning look at kanye after kim left him for pete look at trumps creepy sexual mania and putins overthetop homophobia its as dumb simple as it looks1,0.268,0.705,0.027,-0.9366
the western countrys and the us needs to send weapons equal or more powerful then the ones that putin is using to murder the ukrainian civilians he needs to be stopped from attacking non combative people give them something to stop the war,0.322,0.624,0.054,-0.9383
putin failed to capture ukrainian towns and cities with tanks now he tries cowardly drone attacks these are the desperate acts of a man losing a war on the battlefield its why we sent air defence missiles he wont break the ukrainians or our resolve to stand with them,0.325,0.611,0.064,-0.9451
moscow three russians have been arrested in the case of a terrorist attack on the crimean bridge alexander bylin oleg antipov and dmitry heavy are charged with terrorism putin is realizing his fear of his own people is not paranoia its a deserved and legitimate fear,0.386,0.586,0.028,-0.9718
mike lee constitutionalist fraud jdvance mr hillbilly elegy fraud mehmet oz quack doctor fraud marco rubio scripture quoter fraud ron johnson putin patriot fraud doug mastriano insurrectionist fraud when we vote they losevote,0.458,0.542,0.0,-0.9744
