,neg,neu,pos,compound
if you still have an am4 mainboard the cpu is definitely recommended i switched from a ryzen 5 3600 unbeatably good for gaming absolute purchase recommendation,0.0,0.73,0.27,0.7506
great cpu i recommend a good cooler because it tends to heat up a bit what can i say for the rest its a bomb,0.111,0.557,0.331,0.743
processor ideal for gaming get a good sink because it heats so hot,0.0,0.613,0.387,0.743
from 3600x to 5800x3dbest move everthis is the best amd cpu they ever made dont be bothered with new 7000s series with this cpu youd max out on fps in every res you throw at it,0.0,0.847,0.153,0.7321
great performance but i wish it was cheaper,0.0,0.45,0.55,0.7269
what should you say this cpu gives the am4 socket another decent performance boost a stronger cpu is not required to play with the latest games on the market economical and powerful at the same time,0.049,0.754,0.197,0.7239
bought this to use with my rtx 3080 1440p gaming machine the cpu is rock solid sporting a 30 all core undervolt with msi kombo strike temps nice and low as the cpu is water cooled this is the best gaming cpu you can get for the money 55,0.065,0.779,0.156,0.7184
phenomenal processor top performance the best to buy for mobo am4,0.0,0.6,0.4,0.7184
upgraded from 5600x everything is better some things are alot better,0.0,0.608,0.392,0.7003
everything went well again and again with pleasure,0.0,0.508,0.492,0.7003
very good processor stable and does not get hot,0.0,0.553,0.447,0.6865
running this with my 2060 6gb oc until my 3060 12gb oc comes in friday and its runs games like a champ 160 fps in destiny 2 pvp 120 fps cod mw2 all high settings fortnite gets 200 fps with the ryzen 7 2700 wraith prism cooler until when my noctua comes in,0.0,0.896,0.104,0.6808
this cpu act like a normal 8 core when you are not gaming when you do game its a nuclear submarine totally satisfied in every game ive tried,0.0,0.804,0.196,0.6801
im extremely pleased with this cpu it gives the performance of 13th genryzen 7000 but its a drop in upgrade for anyone on am4 excellent stuff,0.083,0.692,0.225,0.6701
this cpu is a beast for those with investment in am4 platform this is the end game for a pc gaming it uses about 100w during gaming and runs a little hot so make sure you have a good cpu cooler,0.0,0.865,0.135,0.6682
processor insert type mount good cooling and enough possibly on the msi board with agesa 1208 turn on combo strike 3 most copies cope and it is cooler and in total more efficiently,0.041,0.797,0.162,0.659
this gift to the aging am4 platform will probably bite amd in the rear it s so good that it ll likely delay a lot of am5 upgrades i ve paired it with a 7900xtx and the results in vr are incredible,0.052,0.797,0.151,0.6532
i technically downgraded in cores and threads from a 5900x but man oh man did i totally upgrade in smoothness during gaming my 1 and 01 lows saw a huge boost actually even just doing tasks in windows feels faster too,0.053,0.791,0.156,0.6486
couldnt ask for a more powerful cpu totally worth the price,0.0,0.602,0.398,0.647
the game is cpu bound and i get over 143 fps with qhdi upgraded from 1800x triple the framerate of my old cpu same motherboard same gpu,0.0,0.856,0.144,0.6369
even with the current 7950x3d out right now until the 7800x3d is released and reviewed this cpu is the best bang for your buck,0.0,0.846,0.154,0.6369
currently one of the best for gaming in the game it does not exceed 70 degrees,0.0,0.781,0.219,0.6369
massive upgrade even from a 5600x the 8 cores are great for multitasking and in gaming it absolutely destroys best paired with an msi mobo to activate kombo strike,0.146,0.622,0.232,0.6352
for gaming this is fantastic major upgrade from 3700x now my 3080 is stretching its legs properly such an increase in average fps and lows,0.061,0.741,0.199,0.6249
the performance in cpuintensive games is simply great,0.0,0.631,0.369,0.6249
great gaming cpu,0.0,0.328,0.672,0.6249
outstanding performance,0.0,0.2,0.8,0.6124
i have x470 tuf motherboard 1080 non ti 32gb memory 3000hz upgraded from a 2700x and it is an amazing difference example csgo 2700x 200240fps 5800x3d 500fps,0.0,0.863,0.137,0.5859
excellent gaming performance,0.0,0.351,0.649,0.5719
arrived 1 day before the scheduled date excellent product,0.0,0.654,0.346,0.5719
fantastic upgrade from amd 2007x,0.0,0.526,0.474,0.5574
i have upgraded from a i7 8700k at 48 all core and some games have made very little difference but the ones that have its a massive difference vr is much smother and the main games i play have improved greatly just buy one if you have a am 4 motherboard,0.07,0.793,0.137,0.5499
i have wanted this upgrade for a while but was to expensive now i have it its a game changer 100 running a samsung g9 49 screen its blown my mind with 32gb ram 6800xt i wont need to upgrade for a very very long time get one while there still available you wont be disappointed,0.0,0.935,0.065,0.5157
used in a vr rig to upgrade a 5600x which was causing significant bottlenecks with a 4090 the upgrade was well worth it now getting more consistent cpu frametimes,0.051,0.751,0.198,0.5106
one of the best cpu for the price cpu temps are a bit higher than my previous one but with a decent cooler it doesn t really matter,0.0,0.846,0.154,0.4921
im very satisfied,0.0,0.393,0.607,0.4754
for the price to performance this cpu is a guaranteed buy good alternative if the newer x3d versions are too expensive,0.0,0.868,0.132,0.4404
amds gift to the gamers a product that literally puts the next gen of cpus into question,0.0,0.838,0.162,0.4404
for the money you will not find a gaming cpu as good as this i moved from a ryzen 9 3900x to this ryzen 7 5800x 3d and my fps in games has risen dramatically using a msi 6800xt gaming z trio,0.0,0.921,0.079,0.4404
good,0.0,0.0,1.0,0.4404
the 5800x3d is a frame monster moving from the r7 2700 to this was a serious jump in gaming performance and i didnt have to buy a new motherboard all these years later i wanted to see what the 3d v cache thing is all about with the ryzen 9 being similarly priced all i gotta say is getting on the am4 platform years ago has been a very good decision,0.02,0.93,0.05,0.4391
the marketing hype was all true for a change im using this in vr and its made a massive difference over the 5800x i was using before coupled with a 6900xt,0.0,0.903,0.097,0.4215
ive bought many ryzen cpus and have been satisfied every time,0.0,0.781,0.219,0.4215
this cpus performance in games is evenly trading blows with the latest topoftheline examples on the market this is seriously impressive for a cpu in a 2year old lineup on a 6 yearold platform any am4 user looking to upgrade should have the 5800x3d as their main consideration its a nobrainer,0.035,0.898,0.067,0.3818
ive upgraded from a ryzen 2700x to the 5800x3d and its made a massive difference in games it is a bit more expensive than the standard 5800x but the diffidence that extra cache memory makes definitely makes it worth it i didnt get the free company of heroes 3 game with the cpu which was disappointing but it was cheaper than ebuyeroverclockers,0.112,0.741,0.147,0.3605
ottimo prodotto per aggiornare il pc con piattaforma am4 in gioco ha qualla marcia in più,0.0,0.862,0.138,0.34
does what it should and does it very well,0.0,0.77,0.23,0.3384
does what it should do very well,0.0,0.715,0.285,0.3384
i switched from r5 5600x to r7 580x3d and dont regret a cent,0.0,0.811,0.189,0.3252
such a beat of an upgrade highly recommended for am4 if you have a ryzen 3000 or earlier,0.0,0.878,0.122,0.2716
worth every penny for its time got it on discount,0.0,0.826,0.174,0.2263
proc git poorly that other amazons get the game company of heroes 3 here it is not and the site is so weak that it is impossible to find an option to contact the seller  amazon eu sarl  proc 55 amazon page 25,0.1,0.762,0.138,0.2165
i recommend it to you its just the best trial under socket am4 so no worries,0.251,0.465,0.283,0.1914
massive upgrade on my 5600x now running games without any stutter or frame drops,0.0,0.882,0.118,0.1877
top notch gaming performance for only a fraction of the price youd have to pay for an intel with similarworse gaming performance,0.063,0.856,0.081,0.1027
was pivotal in a recent upgrade i went through my 3900x was bottlenecking my system hard i come to learn  i would probably say this cpu is worth 230 dollars but in the current state of the supply chain it s whatever,0.032,0.93,0.039,0.0644
i was looking to upgrade my x470 2600x and decided this was the chip that would probably have the longest lifespan needed to flash the bios and bought a noctua fan to replace the wraith no issues at all with it so far,0.051,0.897,0.053,0.0258
upgraded from a 3600 and omg it s night and day in games im saying nothing more other than it s a must buy,0.0,1.0,0.0,0.0
purchased this replace my previous processor when the main board went down stayed with am4 to keep costs down absolutely cracking processor,0.0,1.0,0.0,0.0
bobmbaclat,0.0,1.0,0.0,0.0
bought as a replacement for my aging 2700x paired with a 3070 ti it absolutely breezes through most workloads both productivitysoftware development and especially gaming heat not an issue with a decent cooler,0.0,1.0,0.0,0.0
fastest cpu in the world and at less than 60w,0.0,1.0,0.0,0.0
its fast cos its red and red means fast,0.0,1.0,0.0,0.0
just the king for am4,0.0,1.0,0.0,0.0
its way way faster than my old processer i had an ryzen 3 3200g,0.0,1.0,0.0,0.0
this a piece of technology step into the future that delivers higher processing for rendering graphics to the display,0.0,1.0,0.0,0.0
it is a cpu that gives me 5560 fps more on average on games that depend on 3dvcache as in my case warzone and call of duty in general i used to have a normal 7800x,0.0,1.0,0.0,0.0
never thought this would add so much performance to my system but it really did did many upgrades to my system but this one fully removed any bottle neck to my gpu my rx6800xt now runs at 90 utilization with my 5600x i never ran over 70,0.0,1.0,0.0,0.0
i made the return more than 1 week ago i dont understand why they havent returned my money yet aid,0.0,1.0,0.0,0.0
the 3d cache in this monster runs circles around my 3080 i ve never seen my cpu usage above 70 so this leaves plenty of headroom for even up to a 4080,0.0,1.0,0.0,0.0
bought for an upgrade this is the last great cpu for the am4 socket and it did work with my motherboard after a quick bios update the box is mostly air from the factory there is no cooler inside else no too much complain except it runs a little bit more hot than my previous rizen,0.113,0.82,0.067,-0.2023
the pinnacle for the am4 board if gaming is your thing dont expect great improvements in desktop performance over 3000 series chips but if gaming is your thing this chip is the king for the am4 board,0.094,0.906,0.0,-0.3875
was so slow sad face,0.458,0.542,0.0,-0.5233
bought this is my pc was stuttering a bit with my 5600 this cpu cured that and lifted my fps right up wat a beast it is competing with the big boys latest cpus and still beating some in games if your on am4 platform buy one,0.11,0.89,0.0,-0.6486
gaming performance is above what i expected coming from a 3900x i have it paired with a 4090 and it puts in the work can t go wrong if your trying to avoid the bill to upgrade to ddr5 and am5,0.135,0.865,0.0,-0.6486
i recently upgraded my 5700xt gpu to a 6950xt and it didnt improve performance as much as i hoped the 6950xt wouldnt go over about 60 utilization so i thought ill try upgrading the 3700x cpu now with the 5800x3d gpu utilization is 99100 and i get as much as double or even triple the fps so i have no regrets,0.169,0.79,0.041,-0.7979
