,neg,neu,pos,compound
its a well made product it really shines on speed also it came to me on the time stated wish it was a little cheaper,0.0,0.814,0.186,0.5859
not the most durable for the money but a nice drive otherwise,0.0,0.73,0.27,0.5719
perfect,0.0,0.0,1.0,0.5719
excellent,0.0,0.0,1.0,0.5719
perfect for your main hd to boot and run games from my pc starts up in 40 seconds max,0.0,0.829,0.171,0.5719
just buy it im happy with my purchase,0.0,0.654,0.346,0.5719
hes happy with it,0.0,0.448,0.552,0.5719
perfect working,0.0,0.213,0.787,0.5719
western digital once again prove they have the best price to performance on the market its not a massive price difference compared to samsung and other brands but its nice to save a little only downside is the lower endurance but i doubt the average consumer will ever wear one of these out,0.13,0.701,0.169,0.5373
"very fast
much better than sata ssd",0.0,0.655,0.345,0.4877
fast good price and reliable so far,0.0,0.674,0.326,0.4404
easy to install very fast,0.0,0.58,0.42,0.4404
fast mtbf 18 milion hours good price,0.0,0.674,0.326,0.4404
easy and professional,0.0,0.408,0.592,0.4404
worked as expected easy to install,0.0,0.633,0.367,0.4404
exactly as advertised keep in mind that drive performance improves with larger capacity drives a 256 gb drive will be slower than a 12 tb drive,0.0,0.891,0.109,0.4215
"bought this to use as secondary storage for games as i only had a 500gb ssd with os and handful of games very easy to install and set up in windows by formatting the drive

i should say that this wont improve your fps in games this will greatly reduce load times which is worth the purchase",0.041,0.872,0.087,0.3993
this thing is really fast i am using it as a boot drive and this drive makes ssd feel like hdd when compared on boot times,0.0,0.902,0.098,0.3612
my other nmve corsair stopped being recognised by the computer broke so i decided to buy a name i trust so far its all good it works and its fast if there are any changes to the reliability then i will update,0.105,0.757,0.138,0.3612
my laptop is now 10x faster everything loads super quick including the infamous skyrim loading screen bit of a faff to install but that was due to my laptop not the product,0.0,0.924,0.076,0.3506
this worked fine great speed etc but after 14 months it died restarted computer one day it was gone wouldnt show up in disk management at all bios would not recognise that an m2 drive was present replaced with a samsung drive that worked fine after switching it out not the end of the world but would certainly expect a longer lifespan from an ssd,0.068,0.804,0.128,0.3291
have been used for over a month without a problem,0.0,0.756,0.244,0.3089
too early to say anything about reliability but is fine so far very fast,0.0,0.855,0.145,0.296
brought a 12tb one that plugged in and just worked set to x4 on motherboard getting 5 x my standard ssd got a 1tb one now as well just for games they seem to load a lot faster,0.0,0.938,0.062,0.2732
the performance is good but the temperature is getting to 70°c with a thermal pad and copper plate on i dont didnt think this ssd is going to last that long with that kind of temperature so i returned it,0.0,0.949,0.051,0.2382
has a very large capacity allowing for various games to be installed and a fast speeds which allow for games to opened and loaded quickly,0.0,0.921,0.079,0.2263
"getting the full speed advertised on a new install of windows doesnt come with screws but my mobo had them already at first glance it is as advertised

gigagbyte aorus elite x570
amd 3600
thermaltake 16gb 3600",0.0,0.962,0.038,0.0951
"not much to say it was extremely easy to install for my first ever build
it loads the customs map on tarkov in around 20 seconds for me might differ my memory isnt amazing",0.08,0.836,0.083,0.0312
worked right first time and now the laptop is working much faster,0.0,1.0,0.0,0.0
smooth installation into a new build amazingly fast transfer speeds,0.0,1.0,0.0,0.0
goods arrived very quickly from germany on time and as desctibed,0.0,1.0,0.0,0.0
very quick and lots of storage,0.0,1.0,0.0,0.0
macbook pro 15 2015 wdblack sn750 1tb read 2830 write 2774 works stably even under load,0.0,1.0,0.0,0.0
performance as expected,0.0,1.0,0.0,0.0
this ssd was incompatible with my asus vivobook s14 s430fa laptop,0.0,1.0,0.0,0.0
used this for my gaming pc to upgrade from a mechanical hardrive,0.0,1.0,0.0,0.0
product is as described,0.0,1.0,0.0,0.0
its everything i expected it to be and more,0.0,1.0,0.0,0.0
using with the 2019 mac pro via pci adapter very fast,0.0,1.0,0.0,0.0
fast and reliable,0.0,1.0,0.0,0.0
very fast at a very affordable price,0.0,1.0,0.0,0.0
speeds as advertise slightly faster than samsung 970 evo doesnt run too hot,0.0,1.0,0.0,0.0
"i can only get 1621 mbs read out of this drive g when its advertised at 3430mbs

my samsung evo 970 e gets the 3563mbs without issues",0.0,1.0,0.0,0.0
didnt work sent back,0.0,1.0,0.0,0.0
it loads really fast,0.0,1.0,0.0,0.0
"how could it possible that the performance is the same as intel p600 regarding the 4k rw speed

btw the temperature is around 60 degree even without using",0.0,1.0,0.0,0.0
all good not sure why people moan about a screw not being supplied they come with your motherboard,0.238,0.623,0.139,-0.016
"installed to ps 5 and bang sorry but not having this one message appears on the screen so dont but for ps5 guys
probably a fantastic stick for a laptop or pc no doubt but ps 5 is nat having it",0.16,0.732,0.109,-0.0772
does what it says on the box had no probs with it 5 min install which is straight forward,0.109,0.796,0.095,-0.0772
"exactly what the description says one of the fastest options really easy to install however it may be more difficult depending on your system ie if you have a difficult to open laptop
totally recommended
make sure your pclaptop can work at that speed otherwise you will be wasting money if your device is old",0.129,0.748,0.122,-0.1119
great for gaming reasonably priced for the performance youre getting but doesnt come with any parts to install it which is a tad annoying considering youre paying £120,0.114,0.804,0.082,-0.25
my first m2 and it is quick my only problem was my msi mb could not detect it until i had flashed the bios,0.109,0.891,0.0,-0.4019
great storage for fast boot times and installation no need to worry about your loading times as this ssd takes all the stress off of you,0.232,0.647,0.121,-0.4215
its really only 930 gb rather than 1tb as advertised i know theres always some wiggle room when it comes to memory but 7 less is fairly annoying,0.112,0.888,0.0,-0.4861
terrible reliability and average speed probably one of the worst nvme ssds ive owned over the years,0.324,0.676,0.0,-0.802
"came soon than expected quick install if your mobo isnt already installed but annoying if it is

no issues thus far and no it doesnt come with the screws needed",0.309,0.691,0.0,-0.8922
