,neg,neu,pos,compound
its a good ram for the price working good after one month i am not an avid gamer but it is working well for csgo that i play sometimes,0.045,0.654,0.301,0.8023
best with asrock b450ac motherboard it only works if xmp profile is on in the bios so please check that otherwise it ll freezes at boot,0.035,0.735,0.23,0.7959
the performance is now boosted up to 32gb ram received at the best price,0.0,0.642,0.358,0.7717
amazing product got the product during lockdown superfast delivery and nicely packed and delivered,0.0,0.642,0.358,0.7717
i exceed my expectations product of excellent quality improve and a lot of performance of my pc,0.0,0.663,0.337,0.765
perfect ram good working,0.0,0.233,0.767,0.765
nice and thanks to amazon,0.0,0.213,0.787,0.7506
without any problem on my computer it works great,0.0,0.524,0.476,0.7475
"this ram is too good
in quality and price i am surprised to recommend it",0.0,0.601,0.399,0.743
it does what it should do confirmed the warranty and genuineness of the product from corsair customer care good for 4k gaming,0.0,0.766,0.234,0.7269
arrived in perfect conditions working without a problem until now,0.0,0.54,0.46,0.7147
works good affordable would recommend and will buy again when i want to upgrade to more ram,0.0,0.66,0.34,0.6908
seller is fraud i ordered ddr4 ram they send ddr3 ram all packing billing and mention on product ddr4 but actually it is not ddr 4 this is ddr3 i complaint amazon customer care they help me its return this product and refund process,0.102,0.705,0.194,0.6908
faulty product replaced twice and then returned bought from flipkart at a little bit extra cost but working excellent,0.073,0.705,0.222,0.6597
works perfectly i am running at 2667 mhz,0.0,0.588,0.412,0.6369
best memory for desktop and heavy computer work,0.0,0.625,0.375,0.6369
"go for it material delivered with best quality
buy only from appario retail private ltd",0.0,0.769,0.231,0.6369
i coupled this with a hyperx and locked the frequency to 2666mhz and c16 and everything works like a charm ,0.0,0.743,0.257,0.6369
corsair ram is the best,0.0,0.488,0.512,0.6369
best ram for both intel or amd build at this price point and also overclockable,0.0,0.769,0.231,0.6369
best ram,0.0,0.192,0.808,0.6369
best product,0.0,0.192,0.808,0.6369
product as described works perfectly with asus prime z270p card,0.0,0.682,0.318,0.6369
best,0.0,0.0,1.0,0.6369
these was the first upgrades i brought really nice quality and works well could even install myself i did use youtube,0.0,0.766,0.234,0.6361
nice 32gb bought working very well,0.0,0.435,0.565,0.6361
awesome,0.0,0.0,1.0,0.6249
16gb on one strip for as much as 2x8 gives great scope for staesy upgrading without compromise,0.0,0.796,0.204,0.6249
great product,0.0,0.196,0.804,0.6249
great quality and price,0.0,0.423,0.577,0.6249
great ram just remember to change the ram frequency in bios to 3000mhz as default settings run at 2133mhz,0.0,0.814,0.186,0.6249
got delivered on same day worked right out of the box got this for 4700 after hdfc discount during great indian sale,0.0,0.837,0.163,0.6249
great performance just go for it,0.0,0.549,0.451,0.6249
working great with core i5 8th generation cpu,0.0,0.631,0.369,0.6249
very good ram solid packaging i advise,0.0,0.442,0.558,0.6195
conforms to the ad well packaged and easy to install,0.0,0.615,0.385,0.6124
this memory module is crashing the system at a frequent interval after every 30 min we are seeing a black screen we checked mother board and alternative memory module from my friend it works fine system crashing with this memory only let me know how to claim warranty,0.0,0.898,0.102,0.6124
very perfect product and speed usage,0.0,0.556,0.444,0.6115
pas très fort dans linformatique mais linstallation de la ram est super facile rien ne doit être fait une fois la ram installer juste à démarrer le pc comme si de rien nétait prix correct je recommande,0.0,0.9,0.1,0.5994
super,0.0,0.0,1.0,0.5994
super fast delivery and cheaper price,0.0,0.562,0.438,0.5994
um produto de altíssima qualidade com garantia e entrega super rápida chegou antes do prazo em perfeita condição,0.0,0.804,0.196,0.5994
amazing performance,0.0,0.208,0.792,0.5859
excellent,0.0,0.0,1.0,0.5719
it goes perfect companion of another 16 gb module now together 32 gb,0.0,0.764,0.236,0.5719
perfect for gaming,0.0,0.351,0.649,0.5719
perfect,0.0,0.0,1.0,0.5719
excellent performance,0.0,0.213,0.787,0.5719
"ive not used it yet need to decide on processor and motherboard
by the specs it is 16202038 ddr4 3000 mhz ram but it should run 15151530 ddr4 3000 mhz quite easily by manual overclock
i will keep you all posted

update runs at the clocks as below for me

16 20 20 20 38 1t 3333 mhz in 64gb 16gbx4",0.0,0.943,0.057,0.5483
"i wanted one stick of 16gb ddr4 so i have the choice to upgrade to 32gb in the future in my mitx pc this was the same price as a 2x8gb sticks ive had corsair in the past and they never failed me
runs at 3000mhz just fine i had to set it in bios i havent tried to run it higher yet",0.0,0.926,0.074,0.5426
installed on a gaming pc paired with a ryzen 5 1600 and asrock itx am4 motherboard no issues to date with all needs ranging from media entertainment and gaming also looks nice with the heat sink on,0.057,0.799,0.144,0.5267
the item works well and delivery by the vendor was exactly as committed,0.0,0.724,0.276,0.4939
its very good product to buy,0.0,0.61,0.39,0.4927
works very wellall good,0.0,0.486,0.514,0.4902
sons pc performance massively improved,0.0,0.563,0.437,0.4767
good,0.0,0.0,1.0,0.4404
the diempo they handled through the conveyor quickly is the mejo always the product also arrived in good physical and functional condition,0.0,0.879,0.121,0.4404
good one,0.0,0.256,0.744,0.4404
good product at this price range,0.0,0.633,0.367,0.4404
easy to handle heavy files at work location,0.0,0.707,0.293,0.4404
fast deliveryquality and packing was good surprisinglyworked right out of the box when plugged into my asus z390e mobo,0.0,0.861,0.139,0.4404
good quality,0.0,0.256,0.744,0.4404
its fast and easy to install,0.0,0.633,0.367,0.4404
nice,0.0,0.0,1.0,0.4215
saved me money and performance,0.0,0.588,0.412,0.4215
¡funciona genial,0.0,0.263,0.737,0.4215
just arrived in the mail slotted the two memory modules into computer away we go much faster totally recommend if your computer is slowing down taking longer to load up programs or hanging when you open too many tabs up in chrome or firefox,0.0,0.939,0.061,0.4201
what about i buy them for years sometimes go that a wonder sometimes they treat you and start again,0.0,0.856,0.144,0.4019
yes,0.0,0.0,1.0,0.4019
upgraded to 32gb ram with 2 slots each of 16gb supports b450 motherboard with xmp clocked to 3000mhz mainly for video editing and some gaming,0.0,0.902,0.098,0.3612
no words just excellent,0.278,0.253,0.468,0.3612
like this ram,0.0,0.444,0.556,0.3612
the package was opened from inside and it was like someone has used the product,0.0,0.848,0.152,0.3612
plug and play and optimum performance in an upgrade from 16 to 32 jig identified immediately by the system in all its 3000mhz without having to dismantle in the bios,0.0,0.924,0.076,0.34
value for money,0.0,0.455,0.545,0.34
value for money product with 3000mhz i m ordering it again,0.0,0.769,0.231,0.34
work very well,0.0,0.455,0.545,0.3384
"it took less than 5 minutes to install this 16gb ram stick
it paired with my original stick dell for 32gb now wo any issues
real plugnplay",0.0,0.916,0.084,0.3182
cool,0.0,0.0,1.0,0.3182
i have another memory stick and it is added to it without a problem,0.0,0.83,0.17,0.3089
good speed ram no corruptions errors good quality testing,0.299,0.325,0.377,0.296
yeah way to gooriginal and cheaper than market price bought this one 6200₹ on june 2020,0.0,0.872,0.128,0.296
best if u r not a rgb lover i paired it with ryzen7 2700x and its running at 2933mhz now,0.144,0.658,0.197,0.2796
many do not know is especially not forget to enable xmp in bios to have the 3000 mhz it is overclocked,0.0,0.911,0.089,0.2369
no problem for installing immediately recognised durable i bought 116go and i was so happy that i bought a second one,0.207,0.592,0.201,0.2123
working fine,0.0,0.357,0.643,0.2023
quality ratio at the top,0.0,0.69,0.31,0.2023
card is corrupt and amazon say its beyond the return period,0.0,0.855,0.145,0.1779
"as said in other comments these 16gb bars supposed to have a frequency of 3000mhz are identified by my motherboard an asus tuf gaming b550plus as being 2133mhz
i had to manually change the frequency and it works without any problems at the moment
but for my motherboard even in 3000mhz its still 2133mhz
you are informed so its up to you to see",0.0,0.974,0.026,0.1603
it works so far as meant to and seems fast its running in a linux ubuntu machine,0.0,1.0,0.0,0.0
a below average ram dont by it for gaming,0.0,1.0,0.0,0.0
cheapest we found,0.0,1.0,0.0,0.0
parfait très bonne article,0.0,1.0,0.0,0.0
it was a big addition to my ram memory in my desktop computer,0.0,1.0,0.0,0.0
entrega rápida e tudo funcionando 100,0.0,1.0,0.0,0.0
you have to on xmp decent product,0.0,1.0,0.0,0.0
booster computer,0.0,1.0,0.0,0.0
avec mes 216 go de ram supplémentaires je peux désormais ouvrir 5 onglais chrome en même temps je rigole vive firefox,0.0,1.0,0.0,0.0
"tested through memtest86

dimm slot 16gb ddr4 xmp pc423900
corsair cmk16gx4m1d3000c16
16202038 2998 mhz 1350v

result summary
test start time 20200615 233446
elapsed time 112043
cpu selection mode single cpu 0
ecc polling enabled tests passed 4848 100",0.0,1.0,0.0,0.0
marche nickel va bien jusquà 3000 mhz utilisation maximale,0.0,1.0,0.0,0.0
working now,0.0,1.0,0.0,0.0
prodotto consegnato in tempi rapidi e di ottima qualità che del resto conoscevo,0.0,1.0,0.0,0.0
not fast enough should buy gskill,0.0,1.0,0.0,0.0
much faster,0.0,1.0,0.0,0.0
bien,0.0,1.0,0.0,0.0
just go for it,0.0,1.0,0.0,0.0
produit parfait,0.0,1.0,0.0,0.0
worked for me,0.0,1.0,0.0,0.0
"works as it should
reasonably priced",0.0,1.0,0.0,0.0
fast processing,0.0,1.0,0.0,0.0
"according to the software aida business the speed is 2400 mhz instead of the 3000mhz announced who should we believe

for the rest the product seems to be correct but expensive for performance then",0.0,1.0,0.0,0.0
was compatible with my 2667mhz 16gb stick and now got bot running at 3000mhz,0.0,1.0,0.0,0.0
superman parfamance,0.0,1.0,0.0,0.0
may be some diffrent ram put in ddr4 casing dont buy this product,0.0,1.0,0.0,0.0
"a dont know what ddr is

i order 2 and the other 1 comes in green as u see in the picture and i cant put it in my b450 steel legend mobo
and i cant even return it",0.0,1.0,0.0,0.0
this is rocking,0.0,1.0,0.0,0.0
corsair never give up,0.0,1.0,0.0,0.0
selling transcend 2gb ram instead of corsair 16gb ram dont buy this product from this seller he warped the metal cover of corsair on transcend 2gb stick,0.0,1.0,0.0,0.0
as the product was not compatible with my pci hv returned the productand the product was picked up on 6th sep 2020but still my refund has not processed,0.0,1.0,0.0,0.0
ras compliant and compatible,0.0,1.0,0.0,0.0
didnt worktested it but it was after 13 days so cant replace or return it,0.0,1.0,0.0,0.0
dont go with this product,0.0,1.0,0.0,0.0
when i inserted it then my pc automatically restarted after few minutes again and again,0.0,1.0,0.0,0.0
not working,0.0,1.0,0.0,0.0
when inserting into my computer this crashes literally and it doesnt come from him seeing that when i reset my ram it reworks,0.0,1.0,0.0,0.0
i didnt expect less,0.0,1.0,0.0,0.0
produto muito bom atendeu minhas expectivas,0.0,1.0,0.0,0.0
ótimo,0.0,1.0,0.0,0.0
muito bom produto tinha 8gb só após instalar essa ram melhorou o meu pc em 200,0.0,1.0,0.0,0.0
its prices are so high for no reason if you can buy it for about 5k its good otherwise its not worth the money,0.147,0.749,0.103,-0.0592
from the time i installed this ram replacing my old 8gb ram it keeps on giving bsod even with very less memory load not sure if every one facing the same issue also the item is not eligible for return even it seems like the ram module itself seems to be having some issue,0.087,0.83,0.083,-0.0675
working flawlessly first i got with a block damaged one then i took a replacement for the samethen got a new one now working smoothly happy buyer,0.198,0.614,0.188,-0.0772
"received the product on the same day
i bought this to upgrade my pc now i have 24gb 8gb 16gb ram working fine with no issues",0.085,0.846,0.069,-0.1027
"il me manquer un peu de puissance javais une barrette de 16go un espace de libre du coup jai repris ça petite soeur qui est de plus en promotion
juste parfait aucun souci lordinateur la reconnu tout de suite ",0.038,0.962,0.0,-0.128
it gave me some trouble while installing i had to run this at 2400mhz to even work i have tried at 3000 mhz but my my pc wont even boot so i had tuned it down to 2400mhz my maximus viii ranger memok button helped me,0.042,0.958,0.0,-0.2144
a good ram i recently upgraded to the 3200mhz version i found no problems with it,0.275,0.562,0.163,-0.25
one word perfect really fast delivery but a bit disappointed about its package was damage overall happy with it ,0.283,0.469,0.248,-0.2617
this memoy is a reference for low profile sticks barely 01 inches from the bottom fanworks out of the box with an itx am4 board,0.084,0.916,0.0,-0.2732
packaging inside was already opened and ram was not like in the image,0.15,0.85,0.0,-0.2755
nothing special except good brand would recommend buying from cloudtail seller,0.308,0.528,0.165,-0.2878
juste top rien dautre a dire un bonheur ,0.306,0.51,0.184,-0.296
ótima memória igual a que eu já tinha no meu computador e funcionou perfeitamente,0.167,0.833,0.0,-0.296
funcionam perfeitamente no pc com ótimo desempenho nada a reclamar,0.216,0.784,0.0,-0.296
entirely pleased no problems,0.565,0.104,0.331,-0.3069
usually this ram initially works at 2300 mhz for 3000 mhz performance you have to clock it at most of the times seller sells faulty ram and if you will not check it within replacement time due to other components not delivered then it becomes very tedious job that what is not working on your pc so always order other components before it,0.036,0.964,0.0,-0.3182
i bought previously same ramthe ram is same frequency same brandbut not supporting both ram at a time in my motherboardi am using msi tomahawk b450,0.095,0.905,0.0,-0.3412
had these units in 4 motherboards for over a year and no failures highly recommend,0.289,0.556,0.155,-0.3415
"ram working progress is very worst
speed of process and mentioned in cover page is totally different
dont buy with this seller",0.162,0.735,0.103,-0.3804
"not working properly
memory error saw",0.351,0.649,0.0,-0.4019
defective one did not work for my machine,0.293,0.707,0.0,-0.4404
rien à dire très bonne ram juste une petite modif a faire dans le bios cm msi x570 pour avoir les 3000 mhz,0.13,0.87,0.0,-0.4588
this ram not working 3000mhz only run 2133mhz xmp profile on then my system not stable and reset bios again and againi try overclocking ram 2466mhz sucessfully overclocked but 2 hrs before system restart repeate this loop worst ram piece and not replacement this ram amazon costmer care not helping me,0.155,0.74,0.104,-0.4724
i bought this ram stick at 3000 htz and after the installation i realized on cpuz that it was actually 2133 htz then check on the command console a shame for the price and for the brand,0.086,0.914,0.0,-0.4767
faulty delivered i installed after 1 week and no return policy nowdont buy,0.333,0.667,0.0,-0.5423
 ram not matching my pc my pc same rame but i bye ram is fake product bont buying the ram,0.187,0.813,0.0,-0.631
this is supposed to be 3000mhz ram but it runs at 2133mhz i paid £20 extra for the 3000mhz so im not happy but i cannot return it as i need the ram in my pc to do my work,0.109,0.891,0.0,-0.6589
you will get bad product buy at your own risk,0.412,0.588,0.0,-0.6808
frequent bsod after a month and the problem was indeed with the ram refer picture,0.33,0.67,0.0,-0.7096
no warranty for this defective product awful guy they sold ram which doesnt work,0.438,0.562,0.0,-0.8213
